T	FPT
2.7072072072072073e-05	0.0
2.710710710710711e-05	0.0
2.7142142142142144e-05	0.0
2.717717717717718e-05	0.0
2.7212212212212216e-05	0.0
2.724724724724725e-05	0.0
2.7282282282282283e-05	0.0
2.731731731731732e-05	0.0
2.7352352352352355e-05	0.0
2.738738738738739e-05	0.0
2.7422422422422426e-05	0.0
2.745745745745746e-05	0.0
2.7492492492492494e-05	0.0
2.752752752752753e-05	0.0
2.7562562562562565e-05	0.0
2.75975975975976e-05	0.0
2.7632632632632636e-05	0.0
2.7667667667667672e-05	0.0
2.7702702702702704e-05	0.0
2.773773773773774e-05	0.0
2.7772772772772775e-05	0.0
2.780780780780781e-05	0.0
2.7842842842842847e-05	0.0
2.787787787787788e-05	0.0
2.7912912912912915e-05	0.0
2.794794794794795e-05	0.0
2.7982982982982986e-05	0.0
2.801801801801802e-05	0.0
2.8053053053053057e-05	0.0
2.808808808808809e-05	0.0
2.8123123123123125e-05	0.0
2.815815815815816e-05	0.0
2.8193193193193196e-05	0.0
2.8228228228228232e-05	0.0
2.8263263263263267e-05	0.0
2.82982982982983e-05	0.0
2.8333333333333335e-05	0.0
2.836836836836837e-05	0.0
2.8403403403403407e-05	0.0
2.8438438438438442e-05	0.0
2.8473473473473478e-05	0.0
2.850850850850851e-05	0.0
2.8543543543543546e-05	0.0
2.857857857857858e-05	0.0
2.8613613613613617e-05	0.0
2.8648648648648653e-05	0.0
2.8683683683683685e-05	0.0
2.871871871871872e-05	0.0
2.8753753753753756e-05	0.0
2.8788788788788792e-05	0.0
2.8823823823823827e-05	0.0
2.8858858858858863e-05	0.0
2.8893893893893895e-05	0.0
2.892892892892893e-05	0.0
2.8963963963963967e-05	0.0
2.8998998998999002e-05	0.0
2.9034034034034038e-05	0.0
2.9069069069069073e-05	0.0
2.9104104104104106e-05	0.0
2.913913913913914e-05	0.0
2.9174174174174177e-05	0.0
2.9209209209209213e-05	0.0
2.9244244244244248e-05	0.0
2.9279279279279284e-05	0.0
2.9314314314314316e-05	0.0
2.934934934934935e-05	0.0
2.9384384384384387e-05	0.0
2.9419419419419423e-05	0.0
2.945445445445446e-05	0.0
2.948948948948949e-05	0.0
2.9524524524524526e-05	0.0
2.9559559559559562e-05	0.0
2.9594594594594598e-05	0.0
2.9629629629629633e-05	0.0
2.966466466466467e-05	0.0
2.96996996996997e-05	0.0
2.9734734734734737e-05	0.0
2.9769769769769772e-05	0.0
2.9804804804804808e-05	0.0
2.9839839839839844e-05	0.0
2.987487487487488e-05	0.0
2.990990990990991e-05	0.0
2.9944944944944947e-05	0.0
2.9979979979979983e-05	0.0
3.001501501501502e-05	0.0
3.0050050050050054e-05	0.0
3.008508508508509e-05	0.0
3.0120120120120122e-05	0.0
3.0155155155155158e-05	0.0
3.0190190190190193e-05	0.0
3.022522522522523e-05	0.0
3.0260260260260264e-05	0.0
3.0295295295295297e-05	0.0
3.0330330330330332e-05	0.0
3.0365365365365368e-05	0.0
3.0400400400400404e-05	0.0
3.043543543543544e-05	0.0
3.0470470470470475e-05	0.0
3.0505505505505507e-05	0.0
3.0540540540540546e-05	0.0
3.057557557557558e-05	0.0
3.061061061061062e-05	0.0
3.064564564564565e-05	0.0
3.068068068068069e-05	0.0
3.071571571571572e-05	0.0
3.075075075075075e-05	0.0
3.078578578578579e-05	0.0
3.0820820820820824e-05	0.0
3.085585585585586e-05	0.0
3.0890890890890896e-05	0.0
3.092592592592593e-05	0.0
3.096096096096097e-05	0.0
3.0995995995996e-05	0.0
3.103103103103104e-05	0.0
3.1066066066066074e-05	0.0
3.11011011011011e-05	0.0
3.113613613613614e-05	0.0
3.1171171171171174e-05	0.0
3.120620620620621e-05	0.0
3.1241241241241245e-05	0.0
3.127627627627628e-05	0.0
3.1311311311311316e-05	0.0
