# ------------------ First Passage Time Distribution -----------------
TIME	FPTD
5.325563863863863e-09	0.034255777
5.335572972972973e-09	0.034180682
5.345582082082081e-09	0.034105982
5.35559119119119e-09	0.034031676
5.3656003003002995e-09	0.033957761
5.375609409409409e-09	0.033884236
5.3856185185185186e-09	0.033811098
5.395627627627627e-09	0.033738345
5.405636736736736e-09	0.033665975
5.415645845845845e-09	0.033593987
5.425654954954954e-09	0.033522377
5.435664064064063e-09	0.033451145
5.4456731731731725e-09	0.033380289
5.455682282282282e-09	0.033309805
5.465691391391391e-09	0.033239693
5.4757005005005e-09	0.033169951
5.485709609609609e-09	0.033100575
5.495718718718718e-09	0.033031565
5.505727827827827e-09	0.032962919
5.5157369369369355e-09	0.032894633
5.5257460460460455e-09	0.032826708
5.535755155155155e-09	0.032759141
5.545764264264264e-09	0.032691929
5.555773373373373e-09	0.032625072
5.565782482482481e-09	0.032558567
5.575791591591591e-09	0.032492412
5.5858007007007e-09	0.032426605
5.5958098098098085e-09	0.032361146
5.6058189189189185e-09	0.032296031
5.615828028028028e-09	0.032231259
5.625837137137137e-09	0.032166828
5.635846246246246e-09	0.032102737
5.645855355355354e-09	0.032038983
5.655864464464464e-09	0.031975565
5.665873573573573e-09	0.031912481
5.6758826826826816e-09	0.03184973
5.6858917917917915e-09	0.031787309
5.6959009009009e-09	0.031725217
5.70591001001001e-09	0.031663452
5.715919119119119e-09	0.031602012
5.725928228228227e-09	0.031540896
5.735937337337337e-09	0.031480102
5.7459464464464454e-09	0.031419628
5.7559555555555546e-09	0.031359473
5.7659646646646645e-09	0.031299635
5.775973773773773e-09	0.031240111
5.785982882882883e-09	0.031180901
5.795991991991991e-09	0.031122004
5.8060011011011e-09	0.031063417
5.81601021021021e-09	0.031005137
5.8260193193193184e-09	0.030947165
5.836028428428428e-09	0.030889499
5.846037537537537e-09	0.030832137
5.856046646646646e-09	0.030775076
5.866055755755756e-09	0.030718316
5.876064864864864e-09	0.030661855
5.886073973973973e-09	0.030605691
5.896083083083082e-09	0.030549823
5.9060921921921914e-09	0.03049425
5.916101301301301e-09	0.030438969
5.92611041041041e-09	0.03038398
5.936119519519519e-09	0.03032928
5.946128628628628e-09	0.030274869
5.956137737737737e-09	0.030220743
5.966146846846846e-09	0.030166903
5.976155955955955e-09	0.030113347
5.9861650650650644e-09	0.030060073
5.996174174174173e-09	0.030007079
